Name,BTERN01 - 1,BTERN01 - 2,B124 - 1,B124 - 2,BTMS0057 - 1,BTMS0057 - 2,BT30 - 1,BT30 - 2,B10 - 1,B10 - 2,BTMS0083 - 1,BTMS0083 - 2,BTMS0073 - 1,BTMS0073 - 2,BT28 - 1,BT28 - 2
2_ED6_13_02_H01,135,137,263,271,124,124,191,200,206,206,290,308,130,130,183,183
2_ED6_13_04_G07,135,143,275,275,118,120,191,191,198,204,290,308,130,130,183,183
2_ED6_13_05_B11,135,135,259,271,120,122,191,191,196,206,292,304,130,130,183,183
2_ED6_13_06_G12,139,147,259,269,118,120,191,191,198,206,280,298,130,130,183,183
2_ED6_13_10_C12,135,141,261,275,118,124,191,191,198,206,294,294,130,130,183,189
2_ED6_13_14_F08,135,,265,281,116,120,185,191,206,206,290,306,130,130,183,183
2_ED6_13_15_F11,141,141,269,271,116,120,188,191,208,208,294,300,130,130,183,183
2_ED6_13_18_B10,135,135,265,271,120,124,188,191,206,206,290,290,133,133,183,183
2_ED6_13_19_F12,143,147,265,267,124,124,188,191,206,256,290,290,130,130,183,183
2_ED6_13_21_E12,143,143,263,275,120,124,188,191,204,206,290,292,130,130,183,183
2_ED6_15_01_H02,135,147,265,271,116,120,191,191,206,210,298,308,130,133,183,189
2_ED6_16_01_F05,135,143,265,267,118,124,188,191,198,206,290,290,130,130,183,183
2_ED6_17_01_H10,135,139,265,275,116,124,191,191,206,206,288,290,130,130,183,189
2_ED6_19A_01_H09,135,139,267,271,124,130,191,200,204,206,288,318,130,130,183,183
2_ED6_19A_02_G06,135,137,263,263,120,124,191,191,198,210,292,300,130,130,183,183
2_ED6_19A_03_F12,133,143,267,267,118,124,191,200,208,210,282,290,130,130,183,183
2_ED6_19A_04_C11,133,139,265,267,116,124,185,191,206,210,284,290,130,130,189,204
2_ED6_19A_05_B08,137,137,265,265,124,124,191,191,198,198,288,288,130,130,183,183
2_ED6_19A_06_C04,133,135,259,269,120,124,191,200,198,206,290,300,130,130,183,189
2_ED6_19A_07_H12,137,143,259,265,116,124,191,191,206,206,282,282,130,130,183,183
2_ED6_19A_08_D03,135,137,263,275,116,118,191,191,206,206,290,308,130,130,183,183
2_ED6_19A_09_B06,137,143,269,303,120,124,191,191,190,206,282,282,130,130,183,183
2_ED6_19A_10_C04,137,141,265,267,124,130,191,191,204,206,292,306,130,130,183,189
2_ED6_19A_11_E10,135,135,265,271,116,120,188,191,198,204,290,318,130,130,183,183
2_ED6_19A_12_B01,137,137,271,271,120,120,191,191,206,206,282,282,130,130,183,183
2_ED6_19A_13_D11,133,139,267,303,118,130,191,191,198,210,282,286,130,130,183,183
2_ED6_19A_14_G01,135,137,265,269,124,124,188,188,198,210,282,292,130,133,183,183
2_ED6_19A_15_G07,135,137,267,271,120,124,188,200,198,206,290,292,130,130,183,183
2_ED6_19A_17_D01,135,137,271,271,118,120,191,191,198,200,290,308,130,130,183,183
2_ED6_19A_18_G09,135,143,269,269,112,124,185,194,198,198,280,294,130,130,183,183
2_ED6_22A_02_H09,135,137,265,265,116,126,191,191,190,206,300,308,130,133,183,189
2_ED6_22A_07_D03,135,137,257,259,124,130,188,191,206,206,298,308,130,130,183,183
2_ED6_22A_08_G08,135,137,271,273,116,124,191,191,198,210,292,318,130,133,183,183
2_ED6_22B_01_G11,135,135,259,275,116,120,188,191,198,206,292,306,130,130,183,183
2_ED6_23A_02_F04,135,139,269,285,112,120,191,191,190,206,282,284,130,130,183,183
2_ED6_23A_03_F10,133,143,261,265,120,122,191,200,206,206,288,290,130,130,183,183
2_ED6_27A_09_F04,143,147,263,265,120,124,188,191,206,206,290,318,130,130,183,183
2_ED6_28A_01_C12,135,141,265,267,118,126,188,191,210,210,278,280,130,130,183,183
2_ED6_28A_03_E11,135,147,261,265,124,130,191,194,206,206,290,292,130,130,183,189
2_ED6_28A_04_H03,135,143,267,269,112,120,188,191,206,206,298,318,130,130,183,189
2_ED6_28A_08_F01,135,141,269,281,124,124,185,191,206,206,290,292,130,130,183,183
2_ED6_31_01_F06,133,143,261,269,124,126,185,191,206,206,290,292,130,130,183,183
2_ED6_31_02_H07,135,135,265,271,116,120,188,191,198,204,,,130,130,183,183
2_ED6_31_03_F06,135,135,265,271,120,124,188,191,206,214,290,290,130,133,183,183
2_ED6_31_04_E09,135,139,271,275,116,124,191,200,206,206,290,290,130,130,183,189
2_ED6_31_05_G11,135,139,259,271,120,124,191,191,206,214,284,300,130,130,183,183
2_ED6_31_06_A04,135,139,271,275,116,120,191,191,206,206,288,290,130,130,183,189
2_ED6_31_07_D03,137,139,271,275,116,120,191,200,206,206,288,290,130,130,183,189
2_ED6_31_08_H10,133,143,263,265,124,124,188,200,206,206,282,300,130,130,183,183
2_ED6_32_02_F12,135,141,265,267,116,126,188,191,206,210,280,292,130,130,183,183
2_ED6_32_03_E03,135,147,265,269,120,124,191,191,206,206,282,294,130,130,183,183
2_ED7_01_01_A01,137,139,267,273,120,126,191,200,206,206,284,290,130,130,183,189
2_ED7_01_05_D04,135,139,,,116,120,191,191,190,206,288,294,130,130,183,183
2_ED7_05_01_B02,135,143,261,265,120,124,191,191,204,206,288,290,130,130,183,189
2_ED7_06_04_G05,135,137,263,267,112,120,191,191,200,206,294,308,130,130,183,183
2_ED7_06_06_B10,135,139,,,112,120,191,191,,,,,130,130,183,183
2_ED7_08_01_F09,135,137,263,265,116,120,191,191,206,214,282,294,130,130,183,183
2_ED7_08_02_H12,137,141,265,269,120,124,191,191,198,206,284,292,130,130,183,189
2_ED7_10_02_E10,137,143,267,275,116,120,188,191,198,198,290,292,130,130,183,183
2_ED7_13_01_C02,135,135,269,275,118,124,191,194,204,204,292,306,130,133,183,183
2_ED7_13_02_A10,135,143,267,269,118,124,191,191,206,210,288,300,130,133,183,183
2_ED7_13_03_A05,135,137,265,267,120,120,185,191,198,206,290,304,130,130,183,183
2_ED7_13_04_B04,135,139,259,263,120,120,188,191,206,214,294,300,130,130,183,183
2_ED7_13_05_A09,133,135,257,299,112,120,191,191,206,206,280,290,130,130,183,183
2_ED7_13_06_A06,135,147,265,267,116,116,191,191,200,204,290,300,130,130,183,183
2_ED7_13_07_G03,135,141,271,275,116,120,188,191,206,206,298,308,127,130,183,183
2_ED7_13_08_H02,143,143,263,275,120,128,185,191,190,198,278,306,130,130,183,183
2_ED7_13_09_B01,135,137,257,259,124,124,191,191,198,214,284,288,130,130,183,183
2_ED7_17_01_E03,135,137,257,275,112,124,191,191,206,210,278,278,130,130,183,183
2_ED7_17_02_H06,135,137,265,271,118,120,191,191,198,200,290,308,130,130,183,183
2_ED7_19A_01_G03,133,137,263,269,124,124,191,191,204,206,286,290,130,130,189,189
2_ED7_19A_02_B12,139,141,269,273,120,120,188,191,190,214,286,294,130,133,183,183
2_ED7_19A_03_E05,133,143,267,273,112,120,191,191,206,206,294,304,130,130,183,183
2_ED7_19A_05_A11,135,137,273,275,120,124,191,191,190,206,286,306,130,130,183,183
2_ED7_19A_06_G02,137,141,267,269,118,130,191,191,198,214,290,318,130,130,183,183
2_ED7_19A_07_F04,135,137,267,269,116,120,191,191,198,206,290,318,130,133,183,183
2_ED7_19A_08_G03,135,135,263,269,124,124,188,191,198,204,286,290,130,133,183,183
2_ED7_19A_09_A08,135,137,265,267,120,124,188,188,198,206,278,298,130,130,183,183
2_ED7_19A_10_G04,135,137,265,267,120,124,188,188,198,206,282,282,130,130,183,183
2_ED7_19A_12_A09,135,135,265,267,120,124,188,191,206,214,286,292,130,130,183,189
2_ED7_19A_13_D08,141,141,267,275,118,124,188,188,206,206,284,288,130,130,183,183
2_ED7_19A_15_G10,133,135,259,265,116,120,185,191,200,206,280,282,130,130,183,204
2_ED7_19A_16_C09,137,141,259,261,112,120,191,191,198,210,294,294,130,130,183,183
2_ED7_19A_17_H07,141,143,267,275,112,130,191,194,200,204,,,130,130,183,189
2_ED7_20A_03_B05,135,141,259,269,116,116,191,191,198,214,300,308,130,130,183,189
2_ED7_22B_01_E09,137,141,267,275,120,124,188,191,206,206,,,130,130,183,183
2_ED7_22B_02_F09,135,137,259,271,124,124,191,200,206,206,282,298,130,130,183,189
2_ED7_22B_04_G01,133,135,267,269,120,120,188,191,196,198,282,286,130,130,183,189
2_ED7_22B_05_A07,135,135,265,269,112,124,188,191,190,214,284,288,130,130,183,183
2_ED7_23A_01_A07,133,141,267,299,112,120,188,188,208,238,282,294,130,130,183,183
2_ED7_23A_02_E01,133,135,263,267,112,124,191,191,204,204,280,294,130,130,183,183
2_ED7_23A_03_B02,135,137,267,267,128,130,185,191,200,206,286,294,130,130,183,183
2_ED7_24A_01_H10,135,135,259,263,118,124,191,191,198,206,,,130,133,183,183
2_ED7_25A_01_B10,135,137,267,303,120,120,188,191,206,206,290,296,130,130,183,183
2_ED7_25A_02_H11,135,141,263,265,118,126,188,191,204,206,288,292,130,130,183,183
2_ED7_27A_02_E06,,,259,265,112,118,191,191,,,,,130,130,183,183
2_ED7_29_01_B02,135,141,257,265,120,124,191,191,210,238,286,290,130,130,183,189
2_ED7_31_01_C03,135,135,263,271,120,130,191,191,206,206,,,130,130,183,183
2_ED7_31_02_H12,135,137,267,271,120,124,191,191,200,206,292,306,130,130,183,183
2_ED7_32_02_A05,137,137,265,265,120,120,191,191,206,206,278,278,127,127,183,183
2_ED7_32_03_D12,135,137,263,265,116,120,191,191,206,206,282,308,130,130,183,183
2_ED7_32_04_D11,135,139,263,265,116,124,188,191,206,214,294,294,130,130,183,183
2_ED7_32_05_D12,135,135,259,269,116,118,191,191,184,206,318,320,130,130,183,183
2_ED8_01_01_E03,135,147,,,120,124,185,200,198,204,292,318,130,130,183,183
2_ED8_01_02_C11,137,139,259,271,116,120,191,191,206,238,282,288,130,130,183,183
2_ED8_01_03_E01,133,135,265,265,116,118,191,191,198,204,292,294,130,130,183,189
2_ED8_01_04_E10,135,135,263,265,116,118,185,188,206,210,278,292,130,130,183,183
2_ED8_01_05_F01,135,135,263,303,124,124,185,191,204,210,288,290,130,130,183,189
2_ED8_04_01_F09,135,139,263,267,120,124,188,191,206,206,284,308,127,130,183,183
2_ED8_04_02_F11,135,135,257,259,122,124,191,200,238,256,294,294,130,130,183,183
2_ED8_04_03_F08,137,143,259,265,112,120,191,191,198,206,290,304,130,130,183,183
2_ED8_04_04_E02,133,147,265,267,120,122,191,200,206,206,288,290,130,130,183,183
2_ED8_06_01_G12,135,135,267,275,112,120,191,191,200,206,288,288,130,130,183,183
2_ED8_06_05_D11,137,137,267,271,124,130,191,191,198,206,294,300,130,130,183,183
2_ED8_06_07_B03,135,141,267,267,120,124,188,191,198,206,284,284,127,130,183,183
2_ED8_09_02_A08,135,137,265,271,118,122,188,191,206,206,282,290,130,130,183,183
2_ED8_11_02_G09,135,135,,,118,130,191,194,206,206,,,130,130,183,183
2_ED8_12_01_H11,135,141,267,275,120,120,188,191,198,206,282,290,127,130,183,183
2_ED8_12_02_E02,133,135,263,265,120,120,191,191,200,214,278,290,130,130,183,183
2_ED8_13_01_B05,135,137,257,273,122,124,191,191,200,206,280,294,130,130,183,183
2_ED8_13_02_C07,135,139,265,265,112,124,188,191,188,206,280,282,130,130,183,189
2_ED8_13_03_H09,135,135,265,271,124,130,188,191,206,214,290,290,130,133,183,183
2_ED8_13_04_B03,135,137,267,267,116,116,188,191,198,204,292,306,130,130,183,183
2_ED8_13_05_D10,135,135,267,267,120,124,191,200,206,214,290,294,130,130,183,183
2_ED8_13_06_H06,135,137,267,267,120,124,188,191,200,204,292,294,130,130,183,183
2_ED8_13_07_E06,135,135,265,267,112,118,191,191,206,214,286,300,130,130,183,183
2_ED8_13_08_D10,135,137,263,269,120,120,188,188,198,206,292,292,130,130,183,183
2_ED8_13_09_G09,135,143,263,265,120,124,188,191,206,206,284,284,127,130,183,183
2_ED8_13_10_D09,135,143,257,,112,120,,,204,204,282,284,130,130,183,183
2_ED8_17_01_G01,139,143,269,273,120,130,191,191,206,206,286,298,130,130,183,183
2_ED8_17_02_E04,135,139,257,263,112,124,191,191,206,210,278,300,130,130,183,183
2_ED8_17_03_E05,139,139,259,271,120,124,191,191,198,214,284,294,130,130,183,183
2_ED8_17_04_G06,135,141,265,269,116,116,185,188,206,206,290,292,130,130,183,183
2_ED8_17_05_B04,135,137,271,271,118,120,191,191,198,210,290,306,130,130,183,183
2_ED8_17_06_G04,135,137,265,271,120,128,191,191,198,200,290,308,130,130,183,183
2_ED8_19A_01_A03,135,135,271,271,118,120,191,191,206,206,282,284,130,130,183,183
2_ED8_19A_02_C05,137,143,267,271,120,120,191,200,198,206,290,294,130,130,183,183
2_ED8_19A_03_G11,133,137,267,267,118,118,185,191,206,206,294,300,130,130,183,189
2_ED8_19A_04_F10,135,147,257,267,124,130,,,198,212,290,,130,130,183,183
2_ED8_19A_05_H05,139,141,267,267,120,122,191,191,198,208,282,294,130,130,183,183
2_ED8_19A_06_B11,135,135,265,267,124,124,191,200,198,204,282,284,130,130,183,183
2_ED8_19A_07_D08,141,141,267,269,118,120,191,200,200,212,290,306,130,130,183,183
2_ED8_19A_08_E04,137,143,263,265,116,126,188,191,206,238,282,292,130,133,183,183
2_ED8_19A_09_G07,137,143,263,271,116,124,188,191,198,198,280,320,130,130,183,183
2_ED8_19A_10_D05,135,135,265,299,120,124,191,191,204,206,282,282,130,130,183,183
2_ED8_19A_11_C06,135,143,271,303,112,124,191,191,190,206,284,292,130,130,183,183
2_ED8_19A_12_G02,135,135,263,275,120,124,191,194,206,206,280,294,130,130,183,183
2_ED8_19A_13_E08,137,141,263,267,118,120,191,191,190,204,282,306,130,130,183,189
2_ED8_19A_14_D10,135,141,265,265,120,126,188,191,210,214,282,282,130,130,183,183
2_ED8_19A_15_H06,137,141,261,263,120,124,191,191,206,212,290,308,130,130,183,183
2_ED8_19A_17_A08,135,143,,,112,116,191,191,206,214,,,130,130,183,189
2_ED8_19A_18_D12,137,143,275,275,112,130,188,188,198,210,278,290,130,130,183,204
2_ED8_19A_19_G02,135,137,263,269,122,124,188,191,198,206,282,292,130,133,183,183
2_ED8_19A_20_A03,135,137,267,271,112,126,188,191,206,238,308,318,130,130,183,183
2_ED8_19A_21_C09,135,135,263,273,116,122,188,191,190,206,282,292,130,130,183,183
2_ED8_19A_22_G11,135,141,,,112,116,191,191,206,206,,,130,130,183,183
2_ED8_19A_23_B07,135,135,265,271,124,124,191,191,200,206,294,306,130,130,183,183
2_ED8_19A_24_H07,135,137,265,269,120,120,191,191,206,210,284,306,130,130,183,183
2_ED8_19A_25_F12,135,137,263,267,120,130,188,191,190,214,290,300,130,130,183,183
2_ED8_19A_26_F05,133,135,265,269,112,120,188,191,190,198,282,288,130,130,183,183
2_ED8_19A_27_C10,141,143,265,265,124,124,191,191,206,214,282,292,130,130,183,183
2_ED8_19A_28_G06,133,135,265,269,120,124,191,200,190,206,290,292,130,130,183,183
2_ED8_19A_29_F05,137,137,265,267,120,124,188,191,204,206,290,294,130,130,183,183
2_ED8_19A_30_G11,135,143,263,271,118,122,191,191,204,206,290,292,130,130,183,189
2_ED8_19A_31_B06,135,137,267,269,116,124,188,191,214,214,286,288,130,130,183,183
2_ED8_19A_32_G08,141,143,259,271,112,120,191,191,206,210,284,290,130,130,183,183
2_ED8_20A_01_A12,135,137,265,275,116,124,188,200,206,214,282,286,130,130,183,204
2_ED8_20A_02_H10,135,137,265,267,120,120,188,191,206,210,284,290,130,130,183,189
2_ED8_22B_01_C12,139,149,265,271,118,120,185,191,198,204,288,294,130,130,183,183
2_ED8_22B_02_E11,135,141,259,275,116,118,188,191,198,198,292,298,130,130,183,183
2_ED8_22B_05_F07,133,141,259,265,112,120,191,191,204,206,292,318,130,130,183,183
2_ED8_23A_01_E05,143,143,263,275,120,124,191,191,204,208,290,308,130,130,183,183
2_ED8_23A_03_F02,137,137,267,271,120,124,185,191,204,214,280,282,130,130,183,183
2_ED8_25A_05_D05,135,137,265,269,120,124,188,191,204,214,290,294,130,130,183,183
2_ED8_26A_01_G04,135,137,265,269,116,120,191,200,204,206,292,306,130,130,183,183
2_ED8_28A_01_G08,135,135,259,265,116,120,188,191,198,206,292,306,130,130,183,183
2_ED8_31_02_F03,141,141,267,267,124,128,191,191,206,206,280,290,130,130,183,183
2_ED8_31_03_F04,135,143,263,265,116,120,191,191,206,210,292,300,130,130,183,189
2_ED8_31_04_H09,135,141,265,275,120,130,191,191,200,206,298,308,130,133,183,183
2_ED8_31_05_B06,137,137,271,271,120,120,191,191,206,210,284,294,130,130,183,183
2_ED8_32_01_H08,135,135,,,120,120,191,191,198,210,278,286,130,130,183,183
2_ED8_32_02_D07,137,143,267,275,112,120,191,191,206,206,290,300,130,130,183,183
2_ED8_32_04_H02,135,147,269,269,118,120,188,191,188,204,286,294,130,130,183,183
2_ED9_01_01_D12,135,137,259,267,120,120,191,191,206,206,290,290,130,130,183,183
2_ED9_01_02_D11,137,137,269,271,120,120,188,191,206,206,288,308,130,130,183,183
2_ED9_01_04_H05,139,141,265,269,120,124,185,191,200,206,290,292,130,130,183,183
2_ED9_01_06_A11,135,139,267,269,120,124,188,191,204,206,292,318,130,130,183,183
2_ED9_02_01_F03,135,143,263,287,118,118,191,191,206,210,286,320,130,130,183,183
2_ED9_02_02_G08,135,137,265,265,116,120,185,191,190,204,290,292,130,130,183,183
2_ED9_02_04_B05,137,137,263,265,120,122,188,191,200,210,284,286,130,130,183,183
2_ED9_06_01_F05,135,135,257,263,118,120,191,191,190,210,290,290,130,130,183,183
2_ED9_11_02_H07,135,143,267,267,118,120,191,191,198,198,280,288,130,130,183,183
2_ED9_11_04_A09,141,143,257,267,118,120,188,191,198,200,280,288,130,130,183,183
2_ED9_12_01_C01,143,143,267,267,120,120,188,191,198,206,282,306,130,133,183,183
2_ED9_12_02_F10,135,137,265,269,112,116,191,191,206,214,290,318,130,133,183,183
2_ED9_12_03_G10,133,139,263,273,112,124,188,188,200,210,280,300,130,130,183,183
2_ED9_12_04_B07,135,143,261,269,120,120,188,191,196,198,298,300,130,130,183,183
2_ED9_12_05_C11,133,135,271,271,116,120,191,194,206,210,282,284,130,130,183,183
2_ED9_12_06_D06,135,143,263,263,112,120,191,191,200,206,282,306,130,130,183,183
2_ED9_13_01_H04,135,135,265,275,120,124,188,191,198,204,292,308,130,130,183,183
2_ED9_13_02_D02,135,135,267,269,118,124,191,191,200,206,278,282,130,130,183,183
2_ED9_13_05_H04,135,137,269,275,124,130,188,191,206,206,290,290,130,130,183,183
2_ED9_13_06_D09,135,135,259,261,118,120,191,200,206,206,286,300,130,133,183,183
2_ED9_13_08_H01,135,137,267,303,120,124,188,194,190,200,284,290,130,130,183,183
2_ED9_13_09_B01,137,139,265,275,120,120,191,191,206,206,286,306,130,130,183,183
2_ED9_15_01_F11,135,139,267,269,120,120,188,191,198,210,290,290,130,130,183,183
2_ED9_16_01_A06,135,141,267,269,120,120,191,191,206,214,282,300,130,130,183,183
2_ED9_17_02_E01,133,141,265,303,122,124,188,191,198,198,294,294,127,130,183,189
2_ED9_17_03_D02,137,139,265,271,124,124,191,191,206,206,280,292,127,130,183,183
2_ED9_17_04_C12,135,137,269,271,124,130,188,188,212,212,282,294,130,130,183,183
2_ED9_17_05_A11,135,135,,,116,120,188,191,206,206,,,130,130,183,183
2_ED9_17_07_F03,135,137,257,263,112,124,191,191,206,210,278,294,130,130,183,183
2_ED9_19A_02_H12,143,147,263,263,118,124,191,191,210,238,288,290,130,130,183,183
2_ED9_19A_03_A12,133,143,259,269,112,120,188,191,204,206,284,318,130,130,183,183
2_ED9_19A_04_H07,135,137,267,269,112,124,191,191,198,206,284,284,130,130,183,183
2_ED9_19A_06_E01,135,135,265,303,130,130,191,191,206,256,282,318,130,130,183,183
2_ED9_19A_09_E08,135,135,267,269,120,124,188,191,206,206,282,288,130,130,183,183
2_ED9_19A_10_H03,141,147,269,281,124,124,185,200,206,206,290,292,130,130,183,183
2_ED9_19A_11_A11,135,143,263,303,116,120,191,191,198,206,288,308,130,130,183,183
2_ED9_19A_12_H11,135,139,265,267,120,120,188,200,198,198,282,292,130,130,183,183
2_ED9_19A_13_E06,137,143,259,271,112,126,191,191,210,210,290,318,130,130,183,183
2_ED9_19A_14_G05,135,139,257,271,116,126,188,191,198,206,284,290,130,130,183,183
2_ED9_19A_15_E10,137,137,265,265,116,116,188,191,198,204,290,298,130,130,183,183
2_ED9_19A_16_D04,135,141,261,271,118,120,191,191,206,214,280,290,130,130,183,183
2_ED9_19A_17_F11,135,,265,273,116,124,191,191,204,206,282,292,130,130,183,183
2_ED9_19A_18_D11,135,135,267,267,120,124,191,191,198,206,290,318,130,130,183,183
2_ED9_19A_19_F06,141,143,265,271,112,124,191,191,190,210,294,300,130,133,183,183
2_ED9_19A_20_G04,135,139,259,275,116,124,188,191,206,206,286,318,130,130,183,183
2_ED9_19A_21_G03,135,139,271,275,112,124,191,191,198,200,280,294,130,130,183,183
2_ED9_19A_22_B09,137,141,261,271,116,118,191,191,196,214,292,300,130,130,183,183
2_ED9_19A_23_G10,133,137,265,275,120,124,191,191,198,206,284,292,130,130,183,183
2_ED9_20A_01_F12,135,135,259,269,116,118,191,191,206,206,318,320,130,130,183,183
2_ED9_20A_03_F04,135,137,269,275,120,120,191,191,206,206,284,294,130,133,183,183
2_ED9_20A_04_E02,135,137,265,269,112,120,191,191,206,208,278,290,130,130,183,183
2_ED9_20A_05_H04,139,141,259,265,120,126,191,200,190,198,306,308,130,130,183,183
2_ED9_21A_03_F02,133,141,267,269,118,120,191,191,198,206,294,304,130,130,183,189
2_ED9_21A_04_D05,133,137,265,267,118,120,188,191,204,208,282,290,130,130,183,183
2_ED9_21A_05_E10,133,137,265,269,120,124,191,191,198,206,292,300,130,130,183,183
2_ED9_21A_06_C11,133,143,259,299,116,118,188,191,206,208,286,294,127,130,183,189
2_ED9_22B_01_B03,135,135,259,265,116,120,188,191,198,206,292,306,130,130,183,183
2_ED9_22B_03_C02,135,135,271,275,120,120,191,200,198,206,278,310,130,130,183,204
2_ED9_22B_04_G05,137,141,267,271,116,120,185,191,204,214,280,282,130,130,183,183
2_ED9_22B_05_B01,135,141,259,265,116,118,188,191,198,198,292,306,130,130,183,183
2_ED9_22B_06_F08,135,141,265,267,118,120,191,191,190,206,278,318,130,130,183,183
2_ED9_22B_07_F06,139,149,271,271,118,120,185,191,198,198,288,294,130,130,183,183
2_ED9_23A_01_C03,139,149,265,271,118,120,185,191,198,198,,,130,130,183,183
2_ED9_24A_01_C10,135,137,267,269,116,120,191,191,206,214,298,306,130,133,183,183
2_ED9_24A_02_H11,139,143,269,271,120,120,188,188,198,206,290,298,130,133,183,183
2_ED9_24A_03_D09,135,139,259,265,118,124,191,191,206,206,282,320,130,130,183,183
2_ED9_24A_04_E04,137,139,265,267,118,118,191,191,196,212,,,130,130,183,183
2_ED9_24A_05_G02,135,147,265,267,118,124,185,191,190,206,286,300,130,133,183,183
2_ED9_25A_01_B08,135,137,267,269,120,122,185,191,206,214,288,290,130,130,183,183
2_ED9_25A_02_F02,133,135,261,267,120,122,191,191,204,212,282,290,130,130,183,183
2_ED9_25A_03_A07,135,137,257,265,116,116,185,188,190,206,290,294,130,130,183,183
2_ED9_25A_05_H03,139,141,263,271,116,120,185,191,198,198,284,290,130,130,183,183
2_ED9_26A_01_H06,139,141,271,275,124,124,191,191,206,210,282,290,130,130,183,183
2_ED9_28A_01_B11,143,143,259,263,120,126,191,200,206,206,280,292,130,130,183,183
2_ED9_29_02_G06,135,137,257,267,120,124,191,194,204,206,294,318,130,130,183,183
2_ED9_31_01_H12,135,137,263,287,122,128,191,191,198,206,286,288,130,130,183,183
