"","individual","truecolony","BT10_1","BT10_2","B96_1","B96_2","BTMS0059_1","BTMS0059_2","BTMS0081_1","BTMS0081_2","BTMS0062_1","BTMS0062_2","B126_1","B126_2","BTERN01_1","BTERN01_2","B124_1","B124_2","BTMS0057_1","BTMS0057_2","BT30_1","BT30_2","B10_1","B10_2","BTMS0083_1","BTMS0083_2"
"2000","Ind2000",19994,165,153,246,254,339,359,308,308,292,248,174,172,135,137,269,259,116,118,194,191,206,210,284,288
"1026","Ind1026",9929,157,161,242,254,355,355,312,312,278,250,166,172,135,137,267,269,124,120,188,191,214,208,284,278
"1646","Ind1646",16552,181,169,240,244,359,339,308,308,278,278,178,168,137,133,275,259,124,124,191,191,210,206,306,282
"1173","Ind1173",11649,165,161,246,246,355,355,308,312,258,0,170,166,141,133,263,265,120,120,188,191,198,198,0,0
"858","Ind858",8201,169,171,246,246,355,355,312,312,278,286,182,176,137,135,269,273,118,120,188,191,206,238,294,318
"739","Ind739",7151,173,153,248,242,355,355,312,312,248,310,168,172,135,137,269,267,112,124,188,191,204,206,318,308
"1908","Ind1908",19118,143,165,264,242,355,355,312,308,268,252,172,166,135,141,275,259,130,120,191,191,206,206,282,308
"449","Ind449",4578,167,169,246,242,339,355,312,312,272,278,176,170,135,135,263,275,120,120,191,191,206,200,288,288
"1676","Ind1676",16849,157,165,240,278,355,359,312,308,294,272,176,178,135,137,267,259,120,114,191,191,190,206,294,280
"54","Ind54",500,173,171,240,246,359,359,312,312,0,0,178,176,135,137,267,267,124,116,191,191,206,206,298,288
"293","Ind293",2969,165,153,246,242,355,355,308,312,252,290,168,170,135,135,267,267,120,124,191,191,206,204,306,292
"1894","Ind1894",19051,159,157,246,240,359,355,312,308,248,272,178,168,137,135,263,265,120,112,191,191,206,198,286,290
"277","Ind277",2790,165,157,248,240,359,355,308,308,296,294,170,178,135,135,271,263,120,120,191,191,198,204,294,292
"398","Ind398",3993,159,161,242,240,355,355,308,312,272,252,168,176,133,141,271,259,130,126,188,191,206,206,290,308
"283","Ind283",2884,155,165,254,242,355,359,312,308,252,278,172,168,135,143,265,267,120,124,188,200,200,206,290,292
"1892","Ind1892",19019,157,173,252,242,355,0,312,308,278,278,170,168,141,143,269,267,120,118,191,191,206,198,292,294
"1701","Ind1701",17176,157,157,248,240,355,339,312,312,268,266,176,164,143,135,269,271,120,124,194,188,206,204,294,278
"1840","Ind1840",18407,173,171,246,242,355,355,308,312,272,272,170,170,137,137,265,263,118,130,191,191,206,204,278,282
"774","Ind774",7411,0,0,242,240,339,355,308,312,252,298,170,170,139,133,267,259,120,120,191,191,206,198,294,284
"1641","Ind1641",16484,169,157,250,242,355,355,308,308,278,272,168,174,137,135,269,0,112,112,191,200,214,206,284,286
"139","Ind139",1484,157,183,242,242,355,355,312,312,268,278,168,172,147,141,263,263,124,120,191,191,190,206,288,284
"1191","Ind1191",11787,153,173,240,246,339,355,308,312,252,0,170,170,135,135,267,263,124,112,191,191,206,198,284,290
"310","Ind310",3231,167,171,242,252,355,355,304,312,278,296,170,174,135,135,271,269,120,124,188,191,206,206,290,294
"1758","Ind1758",17843,165,159,238,242,355,355,308,308,294,274,178,168,135,135,263,267,120,124,191,191,198,238,302,294
"501","Ind501",5105,171,173,262,240,355,359,312,312,286,272,178,168,143,135,267,263,120,124,191,191,208,198,278,278
"1652","Ind1652",16612,171,155,254,238,359,355,312,308,252,272,170,170,135,139,267,269,118,116,191,188,198,198,286,282
